,Wyscout id,Player,Team within selected timeframe,League,Age,Minutes played,Position,Primary position,Secondary position,Third position,wPwC,Aerial impact,wSwC,wAwC,wDpwC,wDcwC
0,346129,T. Marchiori,Vélez Sarsfield,ARG Copa de la Liga,29.0,1712,GK,GK,0,0,0.039463456813133,0.3025667295269302,0.0,0.0295442285730264,0.0510668605478273,0.1873346313259136
1,-90927,M. Mansilla,Estudiantes,ARG Copa de la Liga,28.0,1694,GK,GK,0,0,0.0390520732620516,0.744873133535429,0.0,0.0083180297577124,0.0388111769593606,0.198475590145934
2,132447,D. Rodríguez,Argentinos Juniors,ARG Copa de la Liga,35.0,1571,GK,GK,0,0,0.0696876152681468,0.5352274357024481,0.0,0.0347097086226503,0.1524721970996778,0.1808563939216488
3,432202,S. Ascacíbar,Estudiantes,ARG Copa de la Liga,27.0,1519,"RCMF, LCMF, RDMF",RCMF,LCMF,RDMF,0.8310348961763199,1.1759275424266344,0.7548707197925577,1.0015973530603766,2.212496003914295,1.741896491402159
4,323210,E. Gómez,Vélez Sarsfield,ARG Copa de la Liga,30.0,1500,LB,LB,0,0,1.1577571933888098,2.3070963185200912,0.5140841034274908,2.04665223949745,1.8341937915505568,1.5212880412747585
5,-161939,Z. Romero,Estudiantes,ARG Copa de la Liga,24.0,1495,"LCB, LCB3",LCB,LCB3,0,0.0800640966149512,1.7761088165112937,0.2813533988346613,0.8343793240351783,1.2654305776220298,2.426255873061179
6,-212141,K. Zenón,Boca Juniors,ARG Copa de la Liga,23.0,1476,"LW, LCMF3, LAMF",LW,LCMF3,LAMF,3.080543295647973,0.9068106856113723,1.192492303306435,2.2905230039805047,0.8733331618508282,0.918553365280709
7,51301,F. Armani,River Plate,ARG Copa de la Liga,37.0,1474,GK,GK,0,0,0.0296687245640151,0.2794898661069244,0.0,0.0,0.0288286535335579,0.1058799660680152
8,-358974,C. Ordoñez,Vélez Sarsfield,ARG Copa de la Liga,20.0,1452,"RDMF, RCMF",RDMF,RCMF,0,1.1692399735997108,1.1691533370694067,0.0922278788695106,1.024810356209465,1.5706633460290684,1.797900024488556
9,-221327,R. Herrera,Barracas Central,ARG Copa de la Liga,24.0,1452,"RDMF, RCMF",RDMF,RCMF,0,0.2113617225810412,0.9624647338212852,0.0984800767246888,0.9292428493759038,1.8757355192601084,2.549989489266409
10,176353,S. Moyano,Barracas Central,ARG Copa de la Liga,34.0,1452,GK,GK,0,0,0.0332970121416658,0.6655884298871929,0.0,0.0405388618505941,0.0572961810072625,0.1636487642528049
11,116412,C. Aquino,Vélez Sarsfield,ARG Copa de la Liga,33.0,1450,"AMF, LW",AMF,LW,0,3.175918417044786,1.124948777908087,0.3361142193760488,2.7263643917819254,0.999982778151374,0.8363830436238793
12,113389,C. Lema,Boca Juniors,ARG Copa de la Liga,34.0,1449,RCB,RCB,0,0,0.210441303085952,3.4925332622183096,0.1278144824058076,0.7680919035287622,1.813078975269996,1.867875574831187
13,-153055,R. Insúa,Barracas Central,ARG Copa de la Liga,26.0,1446,LB,LB,0,0,1.916178306093113,1.5566024208929252,0.1016729245830412,1.5511288596437662,0.5847013082064781,1.7923365705363938
14,447713,F. Máter,Barracas Central,ARG Copa de la Liga,26.0,1417,RB,RB,0,0,0.8707802375894096,0.8299799056533785,0.1330470530176744,2.2479560529616416,1.865342198473151,2.2304511950940054
15,428928,A. Soto,Defensa y Justicia,ARG Copa de la Liga,30.0,1417,"LB, LDMF",LB,LDMF,0,1.5324623015636862,1.3076012333110147,0.0903005728213118,1.4719734424741306,0.6134341029114376,2.1170462173373044
16,-328063,N. Capraro,Barracas Central,ARG Copa de la Liga,26.0,1402,RCB,RCB,0,0,0.1084123766482839,2.083394576425125,0.7511452096892529,0.3964389067120494,0.9023947801050288,2.090775761257724
17,-173257,E. Mancuso,Estudiantes,ARG Copa de la Liga,25.0,1400,"RB, LB, RB5",RB,LB,RB5,2.4693034472709154,0.5320534939527165,1.210098695748714,1.1461777524311585,1.4558874377404047,1.8359461568827324
18,169059,R. Rey,Independiente,ARG Copa de la Liga,33.0,1399,GK,GK,0,0,0.0402679715519105,0.7702754213436717,0.0,0.0044248795329125,0.0584956561242142,0.1201601450675727
19,-71214,J. López,Defensa y Justicia,ARG Copa de la Liga,24.0,1391,"RDMF, DMF, LDMF",RDMF,DMF,LDMF,0.458192767241014,1.645044011946352,0.1233749297220443,1.3383775461910676,1.0128042192283628,1.8018928801020595
20,76412,L. Advíncula,Boca Juniors,ARG Copa de la Liga,34.0,1385,"RB, RW",RB,RW,0,2.405072113017386,0.99332862354791,0.1465070753972553,2.156802592049274,0.5584592966736212,1.342998504734755
21,-72641,J. Cozzani,Platense,ARG Copa de la Liga,26.0,1381,GK,GK,0,0,0.0338325450118772,0.322061105591221,0.0,0.0450132814436911,0.1674997016883211,0.2152135706230075
22,236422,G. Velázquez,Newell's Old Boys,ARG Copa de la Liga,33.0,1380,RCB,RCB,0,0,0.3732037878061066,2.8651958567021527,0.3728369606791161,0.7188843575264456,0.4647847685459336,2.6432449084943186
23,424459,R. Macagno,Newell's Old Boys,ARG Copa de la Liga,27.0,1380,GK,GK,0,0,0.0416976812153259,0.6533108094187376,0.0,0.0364737318794135,0.0721603843386188,0.1851269906020659
24,-325652,V. Gómez,Vélez Sarsfield,ARG Copa de la Liga,21.0,1380,LCB,LCB,0,0,0.1154916834242128,2.287259588642176,0.3571770660047554,0.3176389252396739,1.8063856616360128,2.213572196148129
